CMDLINE c:\users\timog\miniconda3\envs\pr1\python.exe 1bb.py
MEM 0.382812 1542483266.5581
MEM 12.097656 1542483266.6584
MEM 21.910156 1542483266.7587
MEM 29.925781 1542483266.8590
MEM 38.921875 1542483266.9592
MEM 45.062500 1542483267.0595
MEM 51.773438 1542483267.1598
MEM 56.894531 1542483267.2600
MEM 62.242188 1542483267.3603
MEM 65.671875 1542483267.4605
MEM 75.070312 1542483267.5608
MEM 92.667969 1542483267.6611
MEM 95.468750 1542483267.7613
MEM 103.367188 1542483267.8616
MEM 105.367188 1542483267.9619
MEM 106.000000 1542483268.0622
MEM 105.113281 1542483268.1624
MEM 104.226562 1542483268.2627
MEM 84.910156 1542483268.3630
