CMDLINE c:\users\timog\miniconda3\envs\pr1\python.exe 1bb.py
MEM 0.308594 1542483199.9565
MEM 11.734375 1542483200.0568
MEM 21.800781 1542483200.1571
MEM 29.894531 1542483200.2574
MEM 38.605469 1542483200.3576
MEM 44.828125 1542483200.4579
MEM 50.601562 1542483200.5581
MEM 55.726562 1542483200.6584
MEM 61.277344 1542483200.7587
MEM 64.867188 1542483200.8590
MEM 73.886719 1542483200.9592
MEM 90.429688 1542483201.0595
MEM 95.726562 1542483201.1597
MEM 103.468750 1542483201.2600
MEM 103.699219 1542483201.3602
MEM 104.773438 1542483201.4605
MEM 105.429688 1542483201.5608
MEM 105.511719 1542483201.6610
MEM 104.476562 1542483201.7613
MEM 107.957031 1542483201.8616
MEM 113.890625 1542483201.9618
MEM 116.769531 1542483202.0621
MEM 119.914062 1542483202.1624
MEM 123.859375 1542483202.2627
MEM 127.414062 1542483202.3629
MEM 131.242188 1542483202.4632
MEM 135.898438 1542483202.5826
MEM 136.101562 1542483202.6832
MEM 136.371094 1542483202.7839
MEM 136.687500 1542483202.8845
MEM 136.941406 1542483202.9849
MEM 137.195312 1542483203.0856
MEM 137.386719 1542483203.1861
MEM 137.640625 1542483203.2867
MEM 137.828125 1542483203.3872
MEM 138.089844 1542483203.4878
MEM 138.339844 1542483203.5883
MEM 138.402344 1542483203.6890
MEM 138.410156 1542483203.7895
MEM 138.656250 1542483203.8900
MEM 139.011719 1542483203.9906
MEM 139.777344 1542483204.0944
MEM 139.777344 1542483204.1947
MEM 139.781250 1542483204.2950
MEM 139.781250 1542483204.3953
MEM 139.781250 1542483204.4956
MEM 139.781250 1542483204.6128
MEM 139.781250 1542483204.7133
MEM 139.781250 1542483204.8139
MEM 139.781250 1542483204.9145
MEM 139.781250 1542483205.0151
MEM 139.781250 1542483205.1158
MEM 139.781250 1542483205.2163
MEM 139.781250 1542483205.3169
MEM 139.781250 1542483205.4175
MEM 139.781250 1542483205.5182
MEM 139.781250 1542483205.6188
MEM 139.781250 1542483205.7194
MEM 139.781250 1542483205.8200
MEM 139.781250 1542483205.9206
MEM 139.781250 1542483206.0211
MEM 138.664062 1542483206.1238
MEM 138.664062 1542483206.2241
MEM 138.664062 1542483206.3243
MEM 138.664062 1542483206.4246
MEM 138.664062 1542483206.5248
MEM 138.664062 1542483206.6251
MEM 138.664062 1542483206.7253
MEM 138.664062 1542483206.8256
MEM 138.664062 1542483206.9259
MEM 138.664062 1542483207.0262
MEM 138.664062 1542483207.1265
MEM 138.664062 1542483207.2267
MEM 138.664062 1542483207.3350
MEM 138.664062 1542483207.4355
MEM 138.664062 1542483207.5362
MEM 138.664062 1542483207.6368
MEM 138.664062 1542483207.7373
MEM 138.664062 1542483207.8380
MEM 138.664062 1542483207.9387
MEM 138.960938 1542483208.0393
MEM 138.988281 1542483208.1521
MEM 138.988281 1542483208.2525
MEM 138.988281 1542483208.3528
MEM 138.988281 1542483208.4532
MEM 138.988281 1542483208.5536
MEM 139.007812 1542483208.6539
MEM 139.007812 1542483208.7543
MEM 139.007812 1542483208.8546
MEM 139.031250 1542483208.9550
MEM 139.042969 1542483209.0553
MEM 139.042969 1542483209.1556
MEM 139.042969 1542483209.2560
MEM 139.046875 1542483209.3563
MEM 139.046875 1542483209.4567
MEM 139.050781 1542483209.5570
MEM 139.050781 1542483209.6574
MEM 139.050781 1542483209.7577
MEM 145.613281 1542483209.8581
MEM 166.910156 1542483209.9583
MEM 153.011719 1542483210.0586
MEM 153.011719 1542483210.1589
MEM 153.011719 1542483210.2591
MEM 153.011719 1542483210.3594
MEM 153.011719 1542483210.4596
MEM 153.011719 1542483210.5599
MEM 153.011719 1542483210.6601
MEM 153.011719 1542483210.7604
MEM 153.011719 1542483210.8606
MEM 153.011719 1542483210.9609
MEM 153.011719 1542483211.0612
MEM 153.011719 1542483211.1614
MEM 153.011719 1542483211.2617
MEM 153.011719 1542483211.3620
MEM 153.011719 1542483211.4623
MEM 153.011719 1542483211.5706
MEM 153.011719 1542483211.6711
MEM 153.011719 1542483211.7715
MEM 153.011719 1542483211.8722
MEM 153.011719 1542483211.9728
MEM 153.011719 1542483212.0735
MEM 151.082031 1542483212.1742
MEM 149.492188 1542483212.2749
MEM 149.492188 1542483212.3752
MEM 149.492188 1542483212.4758
MEM 149.492188 1542483212.5764
MEM 149.492188 1542483212.6770
MEM 149.492188 1542483212.7777
MEM 149.492188 1542483212.8783
MEM 149.492188 1542483212.9789
MEM 149.492188 1542483213.0793
MEM 149.492188 1542483213.1798
MEM 149.492188 1542483213.2802
MEM 149.492188 1542483213.3806
MEM 149.492188 1542483213.4809
MEM 149.492188 1542483213.5816
MEM 149.492188 1542483213.6821
MEM 149.492188 1542483213.7826
MEM 149.492188 1542483213.8832
MEM 149.492188 1542483213.9838
